common.name,scientific.name,class,genus,family
Striped Burrowing Frog,Cyclorana alboguttata,Amphibia,Cyclorana,Pelodryadidae
Northern Snapping Frog,Cyclorana australis,Amphibia,Cyclorana,Pelodryadidae
Superb Collared Frog,Cyclorana brevipes,Amphibia,Cyclorana,Pelodryadidae
Hidden-ear Frog,Cyclorana cryptotis,Amphibia,Cyclorana,Pelodryadidae
Knife-footed Frog,Cyclorana cultripes,Amphibia,Cyclorana,Pelodryadidae
Long-footed Frog,Cyclorana longipes,Amphibia,Cyclorana,Pelodryadidae
Daly Waters Frog,Cyclorana maculosa,Amphibia,Cyclorana,Pelodryadidae
Main's Frog,Cyclorana maini,Amphibia,Cyclorana,Pelodryadidae
Little Collared Frog,Cyclorana manya,Amphibia,Cyclorana,Pelodryadidae
Eastern Snapping Frog,Cyclorana novaehollandiae,Amphibia,Cyclorana,Pelodryadidae
Western Water-holding Frog,Cyclorana occidentalis,Amphibia,Cyclorana,Pelodryadidae
Eastern Water-holding Frog,Cyclorana platycephalus,Amphibia,Cyclorana,Pelodryadidae
Wailing Frog,Cyclorana vagitus,Amphibia,Cyclorana,Pelodryadidae
Rough Collared Frog,Cyclorana verrucosa,Amphibia,Cyclorana,Pelodryadidae
Slender Tree Frog,Litoria adelaidensis,Amphibia,Litoria,Pelodryadidae
Melville Range Tree Frog,Litoria andiirrmalin,Amphibia,Litoria,Pelodryadidae
Green and Golden Bell Frog,Litoria aurea,Amphibia,Litoria,Pelodryadidae
Kimberley Rockhole Frog,Litoria aurifera,Amphibia,Litoria,Pelodryadidae
Kimberley Rocket Frog,Litoria axillaris,Amphibia,Litoria,Pelodryadidae
Slender Bleating Tree Frog,Litoria balatus,Amphibia,Litoria,Pelodryadidae
Barrington Tops Tree Frog,Litoria barringtonensis,Amphibia,Litoria,Pelodryadidae
Cape York Graceful Tree Frog,Litoria bella,Amphibia,Litoria,Pelodryadidae
Northern Sedge Frog,Litoria bicolor,Amphibia,Litoria,Pelodryadidae
Booroolong Frog,Litoria booroolongensis,Amphibia,Litoria,Pelodryadidae
Green-thighed Frog,Litoria brevipalmata,Amphibia,Litoria,Pelodryadidae
Tasmanian Tree Frog,Litoria burrowsae,Amphibia,Litoria,Pelodryadidae
Green Tree Frog,Litoria caerulea,Amphibia,Litoria,Pelodryadidae
Yellow-spotted Bell Frog,Litoria castanea,Amphibia,Litoria,Pelodryadidae
Cave Frog,Litoria cavernicola,Amphibia,Litoria,Pelodryadidae
Red-eyed Tree Frog,Litoria chloris,Amphibia,Litoria,Pelodryadidae
Blue Mountains Tree Frog,Litoria citropa,Amphibia,Litoria,Pelodryadidae
Cooloola Sedge Frog,Litoria cooloolensis,Amphibia,Litoria,Pelodryadidae
Copland's Rock Frog,Litoria coplandi,Amphibia,Litoria,Pelodryadidae
Spotted-thighed Frog,Litoria cyclorhyncha,Amphibia,Litoria,Pelodryadidae
Dahl’s Aquatic Frog,Litoria dahlii,Amphibia,Litoria,Pelodryadidae
Davies' Tree Frog,Litoria daviesae,Amphibia,Litoria,Pelodryadidae
Australian Lace-lid,Litoria dayi,Amphibia,Litoria,Pelodryadidae
Robust Bleating Tree Frog,Litoria dentata,Amphibia,Litoria,Pelodryadidae
Buzzing Tree Frog,Litoria electrica,Amphibia,Litoria,Pelodryadidae
Fringed Tree Frog,Litoria eucnemis,Amphibia,Litoria,Pelodryadidae
Ewing's Tree Frog,Litoria ewingii,Amphibia,Litoria,Pelodryadidae
Eastern Dwarf Tree Frog,Litoria fallax,Amphibia,Litoria,Pelodryadidae
Wallum Rocket Frog,Litoria freycineti,Amphibia,Litoria,Pelodryadidae
Centralian Tree Frog,Litoria gilleni,Amphibia,Litoria,Pelodryadidae
Graceful Tree Frog,Litoria gracilenta,Amphibia,Litoria,Pelodryadidae
Bumpy Rocket Frog,Litoria inermis,Amphibia,Litoria,Pelodryadidae
White-lipped Tree Frog,Litoria infrafrenata,Amphibia,Litoria,Pelodryadidae
Jervis Bay Tree Frog,Litoria jervisiensis,Amphibia,Litoria,Pelodryadidae
Northern Stony Creek Frog,Litoria jungguy,Amphibia,Litoria,Pelodryadidae
Kroombit Tree Frog,Litoria kroombitensis,Amphibia,Litoria,Pelodryadidae
Broad-palmed Rocket Frog,Litoria latopalmata,Amphibia,Litoria,Pelodryadidae
Southern Stony Creek Frog,Litoria lesueuri,Amphibia,Litoria,Pelodryadidae
Northern Heath Frog,Litoria littlejohni,Amphibia,Litoria,Pelodryadidae
Long-snouted Tree Frog,Litoria longirostris,Amphibia,Litoria,Pelodryadidae
Armoured Mist Frog,Litoria lorica,Amphibia,Litoria,Pelodryadidae
Rockhole Frog,Litoria meiriana,Amphibia,Litoria,Pelodryadidae
Javelin Frog,Litoria microbelos,Amphibia,Litoria,Pelodryadidae
Motorbike Frog,Litoria moorei,Amphibia,Litoria,Pelodryadidae
Kuranda Tree Frog,Litoria myola,Amphibia,Litoria,Pelodryadidae
Waterfall Frog,Litoria nannotis,Amphibia,Litoria,Pelodryadidae
Striped Rocket Frog,Litoria nasuta,Amphibia,Litoria,Pelodryadidae
Tawny Rocket Frog,Litoria nigrofrenata,Amphibia,Litoria,Pelodryadidae
Southern Green Stream Frog,Litoria nudidigitus,Amphibia,Litoria,Pelodryadidae
Mountain Mist Frog,Litoria nyakalensis,Amphibia,Litoria,Pelodryadidae
